"","Zeitstempel","What.is.your.gender.","In.what.year.were.you.born.","What.is.your.country.of.residence.","How.many.years.of.education.have.you.completed..whether.full.time.or.part.time..including.compulsory.years.of.education..","Which.phrase.best.describes.the.area.where.you.live.","How.interested.would.you.say.you.are.in.politics.â...are.you.very.interested..somewhat.interested..not.much.interested..or.not.at.all.interested.","In.politics..people.sometimes.talk.of.â.œleftâ...and.â.œrightâ....Where.would.you.place.yourself.on.this.scale..where.0.means.the.left.and.10.means.the.right.","Some.people.do.not.vote.nowadays.for.one.reason.or.another..Did.you.vote.in.the.last.general.election.in.your.country.","In.politics..there.are.different.reasons.why.people.decide.to.vote..If.you.voted.in.the.last.election..how.important.were.the.following.in.your.decision.to.vote...My.vote.can.affect.policy.","In.politics..there.are.different.reasons.why.people.decide.to.vote..If.you.voted.in.the.last.election..how.important.were.the.following.in.your.decision.to.vote...I.am.a.regular.voter.","In.politics..there.are.different.reasons.why.people.decide.to.vote..If.you.voted.in.the.last.election..how.important.were.the.following.in.your.decision.to.vote...Voting.is.a.civic.duty.","In.politics..there.are.different.reasons.why.people.decide.to.vote..If.you.voted.in.the.last.election..how.important.were.the.following.in.your.decision.to.vote...My.family.or.friends.voted.","In.politics..there.are.different.reasons.why.people.decide.to.vote..If.you.voted.in.the.last.election..how.important.were.the.following.in.your.decision.to.vote...A.party.or.candidate.that.represents.my.views.is.running.at.the.elections.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...I.feel.no.obligation.to.vote.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...My.vote.cannot.affect.policy.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...I.usually.do.not.vote.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...My.family.or.friends.did.not.vote.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...No.party.or.candidate.that.represents.my.views.is.running.at.the.elections.","In.politics..there.are.different.reasons.why.people.decide.not.to.vote..If.you.have.not.voted.in.the.last.election..how.important.were.the.following.in.your.decision.not.to.vote...I.am.not.eligible.to.vote.","There.are.different.ways.of.trying.to.improve.things.in.a.country.or.help.prevent.things.from.going.wrong..During.the.last.12.months..have.you.done.any.of.the.following..Please.select.all.that.apply."
"1","2019/08/02 3:00:12 PM OEZ","Female",1985,"United Kingdom (UK)",4,"A big city","Very interested",4,"Yes","Important","Important","Important","Somewhat important","Very important","","","","","","","Signed a petition;Boycotted certain products"
"2","2019/08/02 3:04:01 PM OEZ","Female",1983,"United Kingdom (UK)",25,"A small city or a town","Not much interested",5,"Yes","Important","Not important","Important","Don't know/does not apply","Important","","","","","","","Worked in a voluntary organisation or association"
"3","2019/08/02 3:05:31 PM OEZ","Prefer not to say",1996,"United Kingdom (UK)",15,"A village or countryside","Somewhat interested",1,"Yes","Somewhat important","Very important","Important","Important","Not important","","","","","","","Worked in a voluntary organisation or association;Signed a petition"
"4","2019/08/02 3:07:23 PM OEZ","Female",1977,"United Kingdom (UK)",14,"A small city or a town","Somewhat interested",5,"Yes","Important","Important","Important","Not important","Important","","","","","","","Signed a petition;Boycotted certain products"
"5","2019/08/02 3:08:42 PM OEZ","Female",1976,"United States of America (USA)",26,"A small city or a town","Very interested",0,"Yes","Very important","Very important","Very important","Somewhat important","Very important","","","","","","","Worked in a voluntary organisation or association;Signed a petition;Took part in a lawful public demonstration;Boycotted certain products"
"6","2019/08/02 3:09:39 PM OEZ","Female",1999,"United States of America (USA)",14,"A big city","Somewhat interested",5,"No","","","","","","Not important","Not important","Somewhat important","Not important","Somewhat important","Somewhat important","None of the above"
"7","2019/08/02 3:11:02 PM OEZ","Female",1982,"Canada",12,"A big city","Very interested",5,"No","","","","","","Somewhat important","Important","Somewhat important","Important","Important","Somewhat important","Worked in a voluntary organisation or association;Signed a petition;Took part in a lawful public demonstration;Boycotted certain products"
"8","2019/08/02 3:13:41 PM OEZ","Male",1988,"United States of America (USA)",18,"A big city","Very interested",3,"Yes","Very important","Very important","Very important","Very important","Very important","","","","","","","Worked in a voluntary organisation or association;Signed a petition;Boycotted certain products"
"9","2019/08/02 3:14:32 PM OEZ","Male",1983,"United Kingdom (UK)",19,"A big city","Somewhat interested",7,"No","","","","","","Not important","Very important","Important","Don't know/does not apply","Very important","Don't know/does not apply","Signed a petition;Boycotted certain products"
"10","2019/08/02 3:19:40 PM OEZ","Female",1989,"United Kingdom (UK)",19,"A small city or a town","Somewhat interested",5,"Yes","Important","Very important","Somewhat important","Not important","Important","","","","","","","Signed a petition"
"11","2019/08/02 3:20:55 PM OEZ","Female",1993,"United Kingdom (UK)",18,"A big city","Somewhat interested",1,"Yes","Very important","Very important","Very important","Very important","Very important","","","","","","","Signed a petition;Boycotted certain products"
"12","2019/08/02 3:24:39 PM OEZ","Female",1982,"Hungary",16,"A small city or a town","Somewhat interested",9,"Yes","Somewhat important","Not important","Not important","Not important","Very important","","","","","","","Boycotted certain products"
"13","2019/08/02 3:24:40 PM OEZ","Female",1988,"United Kingdom (UK)",12,"A village or countryside","Not much interested",5,"Yes","Not important","Very important","Very important","Very important","Not important","","","","","","","None of the above"
"14","2019/08/02 3:26:30 PM OEZ","Female",2000,"United States of America (USA)",11,"A big city","Somewhat interested",6,"Not eligible to vote","","","","","","","","","","","","Worked in a voluntary organisation or association"
"15","2019/08/02 3:26:53 PM OEZ","Female",1989,"United States of America (USA)",12,"A small city or a town","Somewhat interested",5,"Yes","Important","Important","Very important","Not important","Important","","","","","","","Signed a petition;Boycotted certain products"
"16","2019/08/02 3:28:15 PM OEZ","Male",1993,"Poland",17,"A village or countryside","Somewhat interested",8,"Yes","Important","Important","Important","Important","Important","","","","","","","None of the above"
"17","2019/08/02 3:28:35 PM OEZ","Male",1990,"United Kingdom (UK)",16,"A small city or a town","Not much interested",5,"Yes","Very important","Not important","Very important","Not important","Very important","","","","","","","Signed a petition"
"18","2019/08/02 3:31:15 PM OEZ","Male",1993,"United Kingdom (UK)",17,"A big city","Somewhat interested",7,"Yes","Very important","Important","Important","Somewhat important","Important","","","","","","","None of the above"
"19","2019/08/02 3:32:35 PM OEZ","Male",2000,"Slovenia",14,"A village or countryside","Not much interested",4,"Yes","Important","Somewhat important","Very important","Somewhat important","Important","","","","","","","None of the above"
"20","2019/08/02 3:32:41 PM OEZ","Female",1996,"Portugal",17,"A small city or a town","Not much interested",2,"Yes","Very important","Very important","Very important","Important","Very important","","","","","","","Signed a petition"
"21","2019/08/02 3:33:58 PM OEZ","Male",1993,"United Kingdom (UK)",10,"A big city","Somewhat interested",5,"No","","","","","","Important","Important","Important","Not important","Somewhat important","Don't know/does not apply","None of the above"
"22","2019/08/02 3:35:09 PM OEZ","Male",2001,"United Kingdom (UK)",13,"A village or countryside","Somewhat interested",4,"Yes","Somewhat important","Not important","Important","Somewhat important","Important","","","","","","","Signed a petition"
